participant_id	Gender	Age	Education Level 	Socioeconomic Status 
sub-201	2	25	Master's, Doctoral, or Professional degree	7
sub-202	2	24	Master's, Doctoral, or Professional degree	7
sub-203	1	19	Bachelor's degree	7
sub-204	2	21	Bachelor's degree	5
sub-205	2	21	Bachelor's degree	4
sub-206	2	21	Bachelor's degree	6
sub-207	2	24	Master's, Doctoral, or Professional degree	5
sub-208	2	21	Bachelor's degree	4
sub-209	2	25	Master's, Doctoral, or Professional degree	4
sub-210	2	21	Bachelor's degree	2
sub-211	2	21	Bachelor's degree	7
sub-212	1	23	Master's, Doctoral, or Professional degree	6
sub-213	2	24	Master's, Doctoral, or Professional degree	5
sub-214	1	21	Bachelor's degree	2
sub-215	2	21	Bachelor's degree	5
sub-216	2	21	Bachelor's degree	6
sub-217	1	24	Bachelor's degree	5
sub-218	1	23	Bachelor's degree	6
sub-219	2	23	Master's, Doctoral, or Professional degree	5
sub-220	2	17	Bachelor's degree	4
sub-221	1	25	Master's, Doctoral, or Professional degree	6
sub-222	1	22	Bachelor's degree	5
sub-223	2	21	Bachelor's degree	2
sub-225	2	22	Bachelor's degree	4
sub-226	1	21	Bachelor's degree	4
sub-227	1	21	Bachelor's degree	4
sub-228	1	27	Master's, Doctoral, or Professional degree	5
sub-229	1	22	Bachelor's degree	4
sub-230	2	27	Master's, Doctoral, or Professional degree	3
sub-231	2	18	Bachelor's degree	6
sub-232	2	19	Bachelor's degree	7
sub-233	2	21	Bachelor's degree	6
sub-234	1	20	Bachelor's degree	3
sub-235	2	20	Bachelor's degree	5
sub-236	2	28	Master's, Doctoral, or Professional degree	5
sub-237	2	23	Master's, Doctoral, or Professional degree	5
sub-238	2	26	Master's, Doctoral, or Professional degree	7
sub-239	2	19	Bachelor's degree	5
sub-240	1	20	Bachelor's degree	5
sub-241	2	22	Master's, Doctoral, or Professional degree	5
sub-242	2	23	Master's, Doctoral, or Professional degree	5
sub-243	1	25	Master's, Doctoral, or Professional degree	6
sub-244	1	20	Bachelor's degree	4
sub-245	2	24	Master's, Doctoral, or Professional degree	7
sub-246	2	18	Bachelor's degree	6
sub-247	1	24	Bachelor's degree	3
